LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
716;254190190;Elbląg;Elbląg (54);2013;54 09 43;19 25 53;39
717;254190230;Rogity;Pasłęka (56);2017;54 23 21;19 51 41;8
718;254200040;BARTOSZYCE;Łyna (584);;54 14 25;20 47 52;59
719;254200050;Bornity;Wałsza (568);2006;54 11 04;20 03 03;47
720;254200070;KASZUNY;Drwęca Warmińska (566);1973;54 09 30;20 20 23;89
721;254200080;LIDZBARK WARMIŃSKI;Łyna (584);1888;54 08 09;20 35 10;90
722;254200140;Osieka;Łyna (584);2024;54 12 32;20 46 57;74
723;254210020;WĘGORZEWO;Węgorapa (582);1957;54 13 26;21 44 05;116
724;254220020;ŻABIN;Węgorapa (582);;54 19 17;22 02 17;110
725;254220030;GOŁDAP;Gołdapa (5824);1949;54 18 30;22 16 07;159
726;254220060;BANIE MAZURSKIE;Gołdapa (5824);1952;54 15 06;22 01 23;110
727;254220090;OLECKO;Jez. Olecko Wielkie (2626139);1949;54 02 51;22 29 13;182
728;254220120;Przerośl;Błędzianka (5828);2024;54 15 29;22 39 35;215
729;254220130;Borki;Jez. Litygajno (Ełk) (2628);;54 06 00;22 10 20;
730;254230040;Podwojponie;Szeszupa (68);2023;54 18 01;23 07 10;207
731;349190600;Bielsko-Biała;Biała (2114);1947;49 48 24;19 00 08;396
732;349190625;Zakopane;Biały Dunajec (21412);1876;49 17 38;19 57 37;852
733;349190650;KASPROWY WIERCH;Biały Dunajec (21412);1935;49 13 57;19 58 55;1990
734;349200628;Hala Gąsienicowa;Poroniec (214128);1913;49 14 38;20 00 21;1523
735;349200660;NOWY SĄCZ;Dunajec (214);1953;49 37 38;20 41 19;292
736;349210670;KROSNO;Wisłok (226);1984;49 42 24;21 46 09;330
737;349220690;LESKO;San (22);1954;49 27 59;22 20 30;420
738;349220695;PRZEMYŚL;San (22);1946;49 50 02;22 48 36;230
